Latin,English,Part of Speech
"potēns, potentis (gen.)",powerful,Adjective
potes-ne,Can you...?,Other
prīmō,at first,Adverb
"prīmus, -a, -um",first,Adjective
"prōbō, prōbāre, prōbāvī, prōbātum","to approve, find good",Verb
"prōcēdō, prōcēdere, prōcessī, prōcessum",to proceed,Verb
"prōditor, prōditōris, m.","traitor, betrayer",Noun
"proelium, proeliī, n.",battle,Noun
prope,near,Preposition
"prōvincia, prōvinciae, f.","province, one of the territories controlled by Rome",Noun
"prūdēns, prūdentis","wise, prudent",Adjective
pūblicē,publicly,Adverb
"pūblicus, -a, -um","public, national, belonging to the people",Adjective
"pudor, pudōris, m.","shame, modesty",Noun
"pugnō, pugnāre, pugnāvī, pugnātum",to fight,Verb
"pulcher, pulchra, pulchrum","beautiful, handsome",Adjective
"pūniō, pūnīre, pūnīvī, pūnītum",to punish,Verb
quae,"who, which",Pronoun
quam,than,Conjunction
quamquam,although,Conjunction
"queror, querī, questus sum","to complain, lament",Verb
quia,because,Conjunction
quod,because,Conjunction
rapidē,"quickly, fast",Adverb
"redimō, redimere, redēmī, redēmptum","to buy back, redeem",Verb
"redūcō, redūcere, redūxī, reductum",to lead back,Verb
"rēgīna, rēgīnae, f.",queen,Noun
"regō, regere, rēxī, rēctum",to rule,Verb
"rēgō, rēgere, rēxī, rēctum","to rule, direct",Verb
"relinquō, relinquere, relīquī, relictum",to leave behind,Verb
retrō,"backwards, back",Adverb
"revocō, revocāre, revocāvī, revocātum",to call back,Verb
"rēx, rēgis, m.",king,Noun
"rīdeō, rīdēre, rīsī, rīsum","to laugh, laugh at",Verb
"rogō, rogāre, rogāvī, rogātum",to ask,Verb
"sagitta, sagittae, f.",arrow,Noun
"sānus, -a, -um","healthy, sound, sane",Adjective
satis,enough,Adverb
"saxum, -ī, n.","rock, stone",Noun
"scelus, sceleris, n.",crime,Noun
"sēcrētus, -a, -um",secret,Adjective
sēcum,with him(self),Pronoun
secundum,according to,Preposition
sed,but,Conjunction
semper,always,Adverb
"senātus, senātūs, m.",senate,Noun
"senex, senis, m.",old man,Noun
"septimus, -a, -um",seventh,Adjective
"serpēns, serpentis, m./f.",snake,Noun
"servus, -ī, m.",slave,Noun
"servus, servī, m.","slave, servant",Noun
"sexcentī, -ae, -a",six hundred,Adjective
sī,if,Conjunction
"sīgnum, -ī, n.","sign, symbol",Noun
"silva, silvae, f.",forest,Noun
similiter,similarly,Adverb
sine (+ acc.),without,Preposition
"sociābilis, sōciābile",sociable,Adjective
"socius, -ī, m.",ally,Noun
"soror, sorōris, f.",sister,Noun
"spēs, speī, f.",hope,Noun
"spōnsiō, -ōnis, f.",a solemn promise,Noun
"statuō, statuere, statuī, statūtum","to decide, establish",Verb
"stupor, stupōris, m.","daze, numbness, stupor",Noun
sub (+ acc./abl.),under,Preposition
"suī, sibi, sē, sē","himself, herself, itself, themselves",Pronoun
"sum, esse, fuī, futūrum",to be,Verb
"superbissimus, superbissima, superbissimum","most arrogant, very arrogant",Adjective
"superbus, superba, superbum","arrogant, proud",Adjective
tam,"so, to such a degree",Adverb
tamquam,"as if, just as",Adverb
tandem,finally,Adverb
"tangō, tangere, tetigī, tāctum",to touch,Verb
"tēlum, tēlī, n.","weapon, spear, arrow",Noun
"temptō, temptāre, temptāvī, temptātum",to try,Verb
"tempus, temporis, n.","time, season",Noun
"teneō, tenēre, tenuī, tentum",to hold,Verb
"terra, terrae, f.","earth, land",Noun
"terribilis, -e","terrible, dreadful",Adjective
"territus, territa, territum",terrified,Adjective
"timeō, timēre, timuī, -","to fear, to be afraid",Verb
"tollō, tollere, sustulī, sublātum","to lift up, raise",Verb
"tōtus, tōta, tōtum","whole, entire",Adjective
"trādō, trādere, trādidī, trāditum",hand over,Verb
"trādūcō, trādūcere, trādūxī, trāductum",lead across,Verb
trāns,across,Preposition
"trānsfōrmō, trānsfōrmāre, trānsfōrmāvī, trānsfōrmātum",to transform,Verb
"trēs, tria",three,Adjective
"trīstis, -e","sad, solemn, grim",Adjective
"trīstis, trīste",sad,Adjective
"tū, tuī, tibi, tē, tē","you, of you, to/for you, you, by/with you",Pronoun
tum,then,Adverb
"tūtus, tūta, tūtum",safe,Adjective
ultimō,"in the end, finally",Adverb
"ūmidus, ūmida, ūmidum","moist, damp, wet",Adjective
ūnā,together,Adverb
"ūnus, ūna, ūnum",one,Adjective
"urbs, urbis, f.",city,Noun
"uxor, uxōris, f.",wife,Noun
valdē,"very, very much",Adverb
"vallis, vallis, f.",valley,Noun
"veniō, venīre, vēnī, ventum",to come,Verb
"verberō, verberāre, verberāvī, verberātum","to flog, beat",Verb
"verbum, verbī, n.",word,Noun
"vērus, vēra, vērum",TRUE,Adjective
"vestis, vestis, f.","clothing, garment",Noun
"vexō, vexāre, vexāvī, vexātum","to annoy, harass, taunt",Verb
"via, viae, f.","road, way, path",Noun
"victōria, -ae, f.",victory,Noun
"videō, vidēre, vīdī, vīsum",to see,Verb
vigintī,20,Numeral
"vincō, vincere, vīcī, victum",to conquer,Verb
"vir, virī, m.",man,Noun
"virga, -ae, f.","switch, rod",Noun
"vīvō, vīvere, vīxī, vīctum",to live,Verb
"vocō, vocāre, vocāvī, vocātus",to call,Verb
"volō, velle, voluī, -","to want, to wish",Verb
"vōs, vestrum/vestrī, vōbīs, vōs, vōbīs","you (pl.), of you (pl.), to/for you (pl.), you (pl.), by/with you (pl.)",Pronoun
"vox, vōcis, f.",voice,Noun
"vulnerō, vulnerāre, vulnerāvī, vulnerātum","to wound, injure",Verb
Vultis-ne,Do you all want...?,Other
"vultus, -ūs, m.","look, expression, face",Noun
"quī, quae, quod","who, which",Pronoun
mī / mihi,"to me, for me",Pronoun
vidētur,seems,Verb
"ōs, ōris, n.",mouth,Noun
simul (ac),as soon as,Conjunction
"ēripiō, ēripere, ēripuī, ēreptum",snatch away,Verb
"lūmen, lūminis, n.",light (the plural often used metaphorically of the eyes),Noun
"dulcis, dulce",sweet,Adjective
"beātus, beāta, beātum",#blessed,Adjective
adversus,opposite,Preposition
"aspiciō, aspicere, aspexī, aspectum",catch sight of,Verb
"perdō, perdere, perdidī, perditum","destroy, ruin",Verb
"prior, prius","before, earlier",Adverb
"supersum, superesse, superfuī (Catullus has a form in tmesis: ""est super"")",to be left,Verb
"superō, superāre, superāvī, superātum",surpass,Verb
"ōtium, ōtiī, n.",leisure,Noun
"lingua, linguae, f.",tongue,Noun
"sēnsus, sēnsūs",sense,Noun
fās,"permitted by religion, correct",Adjective
"audiō, audīre, audīvī, audītum",to hear,Verb
suōpte,all their own,Adjective
"dēmānō, dēmānāre, dēmānāvī, dēmānātum",flow down,Verb
"exsultō, exsultāre, exsultāvī, exsultātum",exult,Verb
"gestiō, gestīre, gestīvī, gestītum",make excitable gestures,Verb
identidem,again and again,Adverb
"molestus, molesta, molestum",irritating,Adjective
"sonitus, sonitūs, m.",sound,Noun
"tenuis, tenue",slender,Adjective
"torpeō, torpēre",to be stiff,Verb
"auris, auris, f.",ear,Noun
"pār, pāris",equal,Adjective
"dīvus, dīvī, m","god (""divine"" as an adjective)",Noun
"artus, artūs, m.","limb, joint",Noun
nimium,too much,Adverb
"suus, sua, suum",his/her/its/their own,Adjective
